"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
15,"FC Viktoria 1889 Berlin II","SV Stern Britz 1889",3,2,NA,NA,NA
15,"FC Internationale Berlin 1980","BFC Meteor 06",1,3,NA,NA,NA
15,"Berliner SC II","Köpenicker FC",0,2,NA,NA,NA
15,"Türkiyemspor Berlin","BSV Eintracht Mahlsdorf II",2,1,NA,NA,NA
15,"Berliner SV 1892","FSV Berolina Stralau 1901",3,3,NA,NA,NA
15,"SV Empor Berlin II","VfB Concordia Britz 1916",0,1,NA,NA,NA
16,"SV Stern Britz 1889","TSV Rudow Berlin",1,3,NA,NA,NA
16,"VfB Concordia Britz 1916","FC Viktoria 1889 Berlin II",2,3,NA,NA,NA
16,"BFC Meteor 06","SV Empor Berlin II",4,2,NA,NA,NA
16,"BFC Preussen II","Berliner SC II",3,2,NA,NA,NA
16,"SC Borsigwalde 1910","Türkiyemspor Berlin",0,1,NA,NA,NA
16,"Köpenicker FC","Berliner SV 1892",0,3,NA,NA,NA
16,"FSV Berolina Stralau 1901","FC Internationale Berlin 1980",3,1,NA,NA,NA
16,"BSV Eintracht Mahlsdorf II","BSV Al-Dersimspor",2,0,NA,NA,NA
16,"TSV Rudow Berlin","SV Stern Britz 1889",3,1,NA,NA,NA
16,"FC Viktoria 1889 Berlin II","VfB Concordia Britz 1916",3,2,NA,NA,NA
16,"SV Empor Berlin II","BFC Meteor 06",2,4,NA,NA,NA
16,"Berliner SC II","BFC Preussen II",2,3,NA,NA,NA
16,"Türkiyemspor Berlin","SC Borsigwalde 1910",1,0,NA,NA,NA
16,"Berliner SV 1892","Köpenicker FC",3,0,NA,NA,NA
16,"FC Internationale Berlin 1980","FSV Berolina Stralau 1901",1,3,NA,NA,NA
16,"BSV Al-Dersimspor","BSV Eintracht Mahlsdorf II",0,2,NA,NA,NA
17,"TSV Rudow Berlin","BSV Eintracht Mahlsdorf II",2,0,NA,NA,NA
17,"SC Borsigwalde 1910","SV Stern Britz 1889",7,1,NA,NA,NA
