Rank,Team,Name,Nr,Pos,Spiele,Tore
264,BSV Al-Dersimspor,Mustafa Arslan,1,TW,6,0
265,BFC Meteor 06,Ahmad Zahlan,6,ZDM,14,0
266,SV Stern Britz 1889,Marc Anthony Weisse,NA,ZM,1,0
267,Berliner SV 1892,Nikita Charkov,20,IV,12,0
268,BSV Eintracht Mahlsdorf II,Ian Kroh,NA,IV,1,0
269,VfB Concordia Britz 1916,Lionel Krampah,NA,ZM,1,0
270,Berliner SC II,Jakob Heilmann,2,LM,9,0
271,SV Stern Britz 1889,Okan Özkaya,3,NA,5,0
272,SV Empor Berlin II,Maurice Meyer,1,TW,7,0
273,Berliner SV 1892,Maximilian Blust,NA,NA,1,0
274,SV Stern Britz 1889,Naim Senay,26,RV,10,0
275,BFC Meteor 06,Jamal Dähn,NA,NA,1,0
276,Berliner SC II,Victor Kausch,NA,IV,3,0
277,Berliner SV 1892,Steven Koschek,NA,ZM,11,0
278,TSV Rudow Berlin,Nemanja Samardzic,NA,NA,1,0
279,BSV Al-Dersimspor,Vittorio Achour,NA,NA,2,0
280,Türkiyemspor Berlin,Jan Lange,NA,IV,4,0
281,SV Empor Berlin II,Tjerk Ortmann,4,IV,3,0
282,BFC Preussen II,Oliver Schill,NA,IV,1,0
283,BSV Al-Dersimspor,Sam Diokhane,4,ZDM,12,0
284,Berliner SV 1892,Göktug Özsoy,19,ZM,12,0
285,Türkiyemspor Berlin,Paulo Eduardo Bernardes De Almeida,22,NA,5,0
286,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,1,0
287,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
288,BSV Al-Dersimspor,Emre-Eyüp Önal,7,ZDM,14,0
289,SV Stern Britz 1889,Julian Karsten Heikenfeld,NA,NA,1,0
290,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,12,0
291,FC Internationale Berlin 1980,Niklas Schindler,11,IV,13,0
292,BFC Preussen II,Dominik Dietzel,1,TW,3,0
293,Türkiyemspor Berlin,Davut Kösker,32,TW,4,0
294,Köpenicker FC,Maximilian Zengler,25,ST,2,0
295,BSV Al-Dersimspor,Caglar Polat,27,ZOM,12,0
296,SV Stern Britz 1889,Patrick Kübler,21,NA,0,0
297,Köpenicker FC,Pascal Berger,NA,NA,0,0
298,SV Stern Britz 1889,Timo Ziebarth,1,TW,9,0
299,Berliner SC II,Tim Niedenhoff,19,ZM,10,0
300,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,13,0
301,BSV Al-Dersimspor,Etem Tonk,24,IV,14,0
302,Berliner SV 1892,Dennis Fischer,2,LM,5,0
303,Türkiyemspor Berlin,Dennis Fischer,2,LM,1,0
304,SV Empor Berlin II,Tom Wessel,24,IV,5,0
305,SV Stern Britz 1889,Kamil Ryszard Borowski,NA,IV,4,0
306,TSV Rudow Berlin,Linus Fürstenow,4,IV,16,0
307,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
308,Berliner SC II,Oguz Rencber,NA,LM,2,0
309,FSV Berolina Stralau 1901,Emilio Son,7,NA,3,0
310,SV Stern Britz 1889,Nico Hauf,13,IV,11,0
311,FSV Berolina Stralau 1901,Viktor Kreisel,20,NA,1,0
312,SV Empor Berlin II,Simon Albrecht,NA,ZM,1,0
313,SV Stern Britz 1889,Robin Koller,NA,TW,2,0
314,VfB Concordia Britz 1916,Domenic Schäfer,NA,LV,1,0
315,FSV Berolina Stralau 1901,Ian Häberle,22,IV,12,0
316,BSV Eintracht Mahlsdorf II,Niklas Isberner,4,IV,13,0
317,BSV Al-Dersimspor,Leorant Abduli,23,NA,1,0
318,Türkiyemspor Berlin,Ali Mert Koca,15,RM,6,0
319,SV Stern Britz 1889,Ali Mert Koca,15,RM,1,0
320,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,12,0
321,Berliner SV 1892,Stefano Tedesco,22,IV,12,0
322,BSV Eintracht Mahlsdorf II,Marcus Grund,NA,NA,3,0
323,SV Empor Berlin II,Philipp Macketanz,15,LV,9,0
324,FC Viktoria 1889 Berlin II,Patrick Büch,NA,NA,0,0
325,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
326,FC Internationale Berlin 1980,Akiyasu Tsuchiya,6,ZM,1,0
327,BSV Eintracht Mahlsdorf II,Fabio Findeisen,NA,NA,0,0
328,Köpenicker FC,Adrian Thiemann,1,TW,12,0
329,BSV Al-Dersimspor,Can Yildiz,NA,NA,2,0
330,SC Borsigwalde 1910,David Mpembele Nzongo,25,NA,3,0
331,BSV Al-Dersimspor,Achmed El-Noumeiri,NA,NA,3,0
332,VfB Concordia Britz 1916,Leon Ketel,1,TW,7,0
333,VfB Concordia Britz 1916,Merlin Schulz,8,IV,1,0
334,Berliner SC II,Rene Lohmeier,NA,NA,0,0
335,SV Empor Berlin II,Sam Misgayski,22,NA,1,0
336,FSV Berolina Stralau 1901,Pablo Guillen,8,ST,9,0
337,BSV Al-Dersimspor,Onur Kalkan,63,IV,9,0
338,Köpenicker FC,Tarek Borchmeier,13,ZM,14,0
339,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,ZM,0,0
340,BSV Al-Dersimspor,Baris Güngör,NA,ZM,5,0
341,SV Empor Berlin II,Pascal Bräkow,2,RV,16,0
342,SV Empor Berlin II,Pjotr Xaver Strelets,NA,LV,3,0
343,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,6,0
344,Berliner SV 1892,Mario Mikic,14,RV,2,0
345,Berliner SV 1892,Firooz Ahmadi,NA,NA,1,0
346,Berliner SV 1892,Jonathan Maurer,NA,NA,1,0
347,SV Stern Britz 1889,Gianfranco Manzari,NA,NA,0,0
348,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
349,FC Internationale Berlin 1980,Jasper Büll,NA,NA,1,0
350,FSV Berolina Stralau 1901,Ibrahim Diallo,10,ZM,8,0
351,TSV Rudow Berlin,Dominik Thonfeld,23,ST,9,0
352,FC Viktoria 1889 Berlin II,Jakob Klautzsch,NA,LV,3,0
353,SV Empor Berlin II,Tilman Schinzel,14,IV,11,0
354,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,15,0
