Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Kader,Formation,Wechsel
5,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,0,4,away,M,"Kühn – Knape, Pereira Mendes (46. Macias), Nagel (32. Westhäusser, 72. Stefanov), Stefanovic – Dieckert, Klautzsch, Herrmann (46. Naicker), Manssour – Weinlein (46. Bendjeloul), Halimi",4-4-2,5
5,BSV Al-Dersimspor,VfB Concordia Britz 1916,4,2,away,L,"Boel – Kahraman (65. Krasniqi), Awag, Kalkan, Schäfer – Savkovic (70. Essel), Tonk, Pereira Dos Santos (65. Tchondo), Polat (70. Seyyidoglu) – Baba, Chawraba (78. Diokhane)",4-4-2,5
5,Berliner SV 1892,FC Internationale Berlin 1980,2,0,away,S,"Lüftschwager – Tedesco (68. Iwuozor), Jost, Bechler – Özsoy, Schleifenbaum – Tröger, Busche (56. Paschke), Molalegn (80. Gültepe) – Bellin (56. Sobczyk), Zauner (56. Charkov)",3-2-3-2,5
5,TSV Rudow Berlin,FSV Berolina Stralau 1901,4,0,away,L,"Gromotka – Burda, Fürstenow, Becker (46. S. Sennur) – Hassane, Badu-Amoah (81. Aktas), Wuthe, Tolay, Hortum (69. Bayram) – T. Sennur (77. Wöhle), Maykowski (71. Youssef)",3-5-2,5
6,TSV Rudow Berlin,BFC Meteor 06,1,0,home,L,"Gromotka – Tolaj, Fürstenow, Burda, Badu-Amoah – Maykowski (90.+3 Bayram), Hassane, Hortum (83. Youssef), Wuthe – Wöhle (88. Becker), Sennur",4-4-2,3
6,SV Stern Britz 1889,FSV Berolina Stralau 1901,2,1,home,L,"Lück – Senay (83. Hauf), Schulz, B. Leci, Höhna – Sik, Diallo, Wojan (71. Pyplatz), Shawdri (59. Boanu) – Duman (57. Ehrich) – L. Leci (88. Özkaya)",4-4-1-1,5
6,FC Viktoria 1889 Berlin II,Berliner SV 1892,4,2,home,S,"Karika – Westhäusser (72. Almedom), Thiele, Stefanovic, Klautzsch (45. Mendes) – Halimi (87. Nikrumah), Herrmann, Dieckert (52. Naicker), Ait Manssour – Weinlein (90.+4 Bendjelloul), Macias",4-4-2,5
6,BSV Eintracht Mahlsdorf II,BFC Preussen II,3,2,home,M,"Streiter – Szczech, Mansour, Bothe, Stöver – Schmeißer (90.+1 Spigaht), Preiß, Maroske, Halilcevic (84. Reinke) – Völckert (61. Macave), Reichenberger (90.+5 Buchmann)",4-4-2,4
6,Berliner SC II,FC Internationale Berlin 1980,1,1,home,NR,"Schlicht – Riedel, Ibrom, Leitner, Kaggelidids – Ekandille (52. Joseski), Einspannier, Niedenhoff (49. Huse), Heilmann (46. Akbulut) – Arsic (27. Glaser), Barth",4-4-2,4
6,SC Borsigwalde 1910,Köpenicker FC,2,2,home,S,"Knetsch – Braga De Souza, El-Okkla, Matuk, Yaqoobi (84. Neumann) – Stefaniszin (70. Bartoschek), Firat Yildirim – Crone (59. Rondinelli), Furkan Yildirim, Bubner – Santanna Mirnada Silva",4-2-3-1,3
