matchday,H,A,Tore_H,Tore_A,where
22,BFC Preussen II,Berliner SV 1892,0,5,away
22,SV Stern Britz 1889,Türkiyemspor Berlin,0,3,away
22,Köpenicker FC,FC Internationale Berlin 1980,4,2,away
22,BSV Eintracht Mahlsdorf II,Berliner SC II,2,1,away
22,SC Borsigwalde 1910,BSV Al-Dersimspor,2,2,away
22,FSV Berolina Stralau 1901,SV Empor Berlin II,2,2,away
23,TSV Rudow Berlin,FC Internationale Berlin 1980,2,1,home
23,BSV Eintracht Mahlsdorf II,BFC Meteor 06,1,6,home
23,FC Viktoria 1889 Berlin II,Köpenicker FC,3,0,home
23,SV Stern Britz 1889,SV Empor Berlin II,0,4,home
23,BSV Al-Dersimspor,Berliner SC II,1,3,home
23,Türkiyemspor Berlin,Berliner SV 1892,1,4,home
23,BFC Preussen II,FSV Berolina Stralau 1901,3,0,home
23,SC Borsigwalde 1910,VfB Concordia Britz 1916,1,4,home
23,FC Internationale Berlin 1980,TSV Rudow Berlin,1,2,away
23,BFC Meteor 06,BSV Eintracht Mahlsdorf II,6,1,away
23,Köpenicker FC,FC Viktoria 1889 Berlin II,0,3,away
23,SV Empor Berlin II,SV Stern Britz 1889,4,0,away
23,Berliner SC II,BSV Al-Dersimspor,3,1,away
23,Berliner SV 1892,Türkiyemspor Berlin,4,1,away
23,FSV Berolina Stralau 1901,BFC Preussen II,0,3,away
23,VfB Concordia Britz 1916,SC Borsigwalde 1910,4,1,away
24,BFC Meteor 06,SC Borsigwalde 1910,6,0,home
24,VfB Concordia Britz 1916,SV Stern Britz 1889,4,0,home
24,Köpenicker FC,BFC Preussen II,3,0,home
24,SV Empor Berlin II,TSV Rudow Berlin,0,4,home
24,Berliner SC II,FC Viktoria 1889 Berlin II,2,0,home
24,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,4,1,home
24,FC Internationale Berlin 1980,Türkiyemspor Berlin,2,1,home
24,Berliner SV 1892,BSV Al-Dersimspor,7,1,home
24,SC Borsigwalde 1910,BFC Meteor 06,0,6,away
24,SV Stern Britz 1889,VfB Concordia Britz 1916,0,4,away
24,BFC Preussen II,Köpenicker FC,0,3,away
