Rank,Team,Name,Nr,Pos,Spiele,Tore
315,SV Empor Berlin II,Maurice Meyer,1,TW,10,0
316,Berliner SV 1892,Maximilian Blust,NA,ST,6,0
317,SV Stern Britz 1889,Naim Senay,26,RV,16,0
318,BFC Meteor 06,Jamal Dähn,NA,NA,1,0
319,Berliner SC II,Victor Kausch,NA,IV,3,0
320,Berliner SV 1892,Steven Koschek,NA,ZM,12,0
321,BSV Al-Dersimspor,Vittorio Achour,NA,NA,2,0
322,SV Empor Berlin II,Tom Stutzke,NA,IV,2,0
323,Türkiyemspor Berlin,Jan Lange,NA,IV,4,0
324,SV Empor Berlin II,Tjerk Ortmann,4,IV,4,0
325,BFC Preussen II,Oliver Schill,NA,IV,1,0
326,SV Empor Berlin II,Nikolai Wolany,NA,NA,1,0
327,Berliner SC II,Oktay Öztürk,NA,RV,1,0
328,Türkiyemspor Berlin,Paulo Eduardo Bernardes De Almeida,22,NA,5,0
329,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,8,0
330,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
331,SV Empor Berlin II,Arnaud Salla,NA,IV,1,0
332,BSV Al-Dersimspor,Emre-Eyüp Önal,7,ZDM,14,0
333,SV Stern Britz 1889,Julian Karsten Heikenfeld,NA,ST,2,0
334,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,20,0
335,BFC Preussen II,Dominik Dietzel,1,TW,10,0
336,Türkiyemspor Berlin,Davut Kösker,32,TW,4,0
337,Köpenicker FC,Maximilian Zengler,25,ST,2,0
338,TSV Rudow Berlin,Sebastian Stang,NA,NA,1,0
339,BSV Al-Dersimspor,Caglar Polat,27,ZOM,18,0
340,SV Stern Britz 1889,Patrick Kübler,21,NA,0,0
341,Köpenicker FC,Pascal Berger,NA,NA,0,0
342,SV Stern Britz 1889,Timo Ziebarth,1,TW,15,0
343,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,18,0
344,BSV Al-Dersimspor,Etem Tonk,24,IV,21,0
345,Berliner SV 1892,Dennis Fischer,2,LV,5,0
346,Türkiyemspor Berlin,Dennis Fischer,2,LV,6,0
347,SV Empor Berlin II,Tom Wessel,24,IV,5,0
348,SV Stern Britz 1889,Kamil Ryszard Borowski,NA,IV,4,0
349,TSV Rudow Berlin,Linus Fürstenow,4,IV,22,0
350,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
351,Berliner SC II,Umran Saied,NA,LM,1,0
