"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
29,"SV BW Hohen Neuendorf","Berliner SC",NA,NA,0.434,0.301,0.264
29,"erlin Türkspor","TSV Mariendorf 1897",NA,NA,0.394,0.318,0.287
30,"SFC Stern 1900","SV Empor Berlin",NA,NA,0.408,0.313,0.28
30,"TSV Rudow Berlin","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.315,0.341,0.343
30,"FSV Spandauer Kickers","Frohnauer SC",NA,NA,0.369,0.33,0.302
30,"Polar Pinguin Berlin","Berliner SC",NA,NA,0.331,0.347,0.322
30,"SC Charlottenburg","TSV Mariendorf 1897",NA,NA,0.356,0.336,0.308
30,"1. FC Wilmersdorf","Füchse Berlin",NA,NA,0.322,0.347,0.331
30,"SC Staaken","SV BW Hohen Neuendorf",NA,NA,0.295,0.325,0.38
30,"erlin Türkspor","VSG Altglienicke II",NA,NA,0.408,0.313,0.28
30,"SSC Südwest 1947","VfB Fortuna Biesdorf",NA,NA,0.356,0.336,0.308
31,"Berliner SC","SSC Südwest 1947",NA,NA,0.381,0.324,0.294
31,"VSG Altglienicke II","1. FC Wilmersdorf",NA,NA,0.381,0.324,0.294
31,"SV Empor Berlin","TSV Rudow Berlin",NA,NA,0.369,0.33,0.302
31,"Frohnauer SC","erlin Türkspor",NA,NA,0.381,0.324,0.294
31,"SC Charlottenburg","SFC Stern 1900",NA,NA,0.356,0.336,0.308
31,"TSV Mariendorf 1897","FSV Spandauer Kickers",NA,NA,0.331,0.347,0.322
31,"VfB Fortuna Biesdorf","SV BW Hohen Neuendorf",NA,NA,0.315,0.341,0.343
31,"Füchse Berlin","Polar Pinguin Berlin",NA,NA,0.434,0.301,0.264
31,"Sp.Vg. Blau Weiß 1890 Berlin","SC Staaken",NA,NA,0.434,0.301,0.264
32,"Sp.Vg. Blau Weiß 1890 Berlin","SSC Südwest 1947",NA,NA,0.408,0.313,0.28
32,"SV BW Hohen Neuendorf","1. FC Wilmersdorf",NA,NA,0.461,0.29,0.249
32,"SV Empor Berlin","Polar Pinguin Berlin",NA,NA,0.369,0.33,0.302
32,"Berliner SC","FSV Spandauer Kickers",NA,NA,0.331,0.347,0.322
32,"Frohnauer SC","TSV Rudow Berlin",NA,NA,0.448,0.296,0.257
32,"VfB Fortuna Biesdorf","erlin Türkspor",NA,NA,0.343,0.342,0.315
32,"VSG Altglienicke II","SC Staaken",NA,NA,0.394,0.318,0.287
32,"Füchse Berlin","SC Charlottenburg",NA,NA,0.408,0.313,0.28
32,"TSV Mariendorf 1897","SFC Stern 1900",NA,NA,0.369,0.33,0.302
33,"SFC Stern 1900","Füchse Berlin",NA,NA,0.343,0.342,0.315
33,"SV BW Hohen Neuendorf","VSG Altglienicke II",NA,NA,0.448,0.296,0.257
33,"erlin Türkspor","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.369,0.33,0.302
33,"FSV Spandauer Kickers","SV Empor Berlin",NA,NA,0.448,0.296,0.257
33,"SC Staaken","VfB Fortuna Biesdorf",NA,NA,0.331,0.347,0.322
33,"1. FC Wilmersdorf","SC Charlottenburg",NA,NA,0.356,0.336,0.308
33,"SSC Südwest 1947","Frohnauer SC",NA,NA,0.322,0.347,0.331
33,"TSV Rudow Berlin","Berliner SC",NA,NA,0.331,0.347,0.322
33,"Polar Pinguin Berlin","TSV Mariendorf 1897",NA,NA,0.331,0.347,0.322
34,"1. FC Wilmersdorf","VfB Fortuna Biesdorf",NA,NA,0.343,0.342,0.315
34,"TSV Mariendorf 1897","SSC Südwest 1947",NA,NA,0.381,0.324,0.294
34,"Sp.Vg. Blau Weiß 1890 Berlin","VSG Altglienicke II",NA,NA,0.408,0.313,0.28
34,"SFC Stern 1900","Polar Pinguin Berlin",NA,NA,0.408,0.313,0.28
34,"SC Charlottenburg","FSV Spandauer Kickers",NA,NA,0.322,0.347,0.331
34,"Füchse Berlin","TSV Rudow Berlin",NA,NA,0.434,0.301,0.264
34,"SV Empor Berlin","erlin Türkspor",NA,NA,0.315,0.341,0.343
34,"Berliner SC","SC Staaken",NA,NA,0.408,0.313,0.28
34,"Frohnauer SC","SV BW Hohen Neuendorf",NA,NA,0.343,0.342,0.315
