matchday,H,A,Tore_H,Tore_A,where
18,VfB Fortuna Biesdorf,FSV Spandauer Kickers,NA,NA,away
18,SV Empor Berlin,Füchse Berlin,NA,NA,away
18,Frohnauer SC,SFC Stern 1900,NA,NA,away
18,Berliner SC,SC Charlottenburg,NA,NA,away
18,SV BW Hohen Neuendorf,SSC Südwest 1947,NA,NA,away
18,SC Staaken 1919,Berlin Türkspor,NA,NA,away
18,TSV Mariendorf 1897,1. FC Wilmersdorf,NA,NA,away
19,SC Staaken 1919,SSC Südwest 1947,NA,NA,home
19,Berlin Türkspor,1. FC Wilmersdorf,NA,NA,home
19,SV BW Hohen Neuendorf,TSV Rudow Berlin,NA,NA,home
19,Berliner SC,Füchse Berlin,NA,NA,home
19,Frohnauer SC,SC Charlottenburg,NA,NA,home
19,Sp.Vg. Blau Weiß 1890 Berlin,SFC Stern 1900,NA,NA,home
19,VSG Altglienicke II,FSV Spandauer Kickers,NA,NA,home
19,VfB Fortuna Biesdorf,Polar Pinguin Berlin,NA,NA,home
19,SV Empor Berlin,TSV Mariendorf 1897,NA,NA,home
19,SSC Südwest 1947,SC Staaken 1919,NA,NA,away
19,1. FC Wilmersdorf,Berlin Türkspor,NA,NA,away
19,TSV Rudow Berlin,SV BW Hohen Neuendorf,NA,NA,away
19,Füchse Berlin,Berliner SC,NA,NA,away
19,SC Charlottenburg,Frohnauer SC,NA,NA,away
19,SFC Stern 1900,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
19,FSV Spandauer Kickers,VSG Altglienicke II,NA,NA,away
19,Polar Pinguin Berlin,VfB Fortuna Biesdorf,NA,NA,away
19,TSV Mariendorf 1897,SV Empor Berlin,NA,NA,away
20,SSC Südwest 1947,Berlin Türkspor,NA,NA,home
20,SC Charlottenburg,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
20,Polar Pinguin Berlin,VSG Altglienicke II,NA,NA,home
20,SFC Stern 1900,VfB Fortuna Biesdorf,NA,NA,home
20,1. FC Wilmersdorf,SV Empor Berlin,NA,NA,home
20,Füchse Berlin,Frohnauer SC,NA,NA,home
20,TSV Mariendorf 1897,Berliner SC,NA,NA,home
20,FSV Spandauer Kickers,SV BW Hohen Neuendorf,NA,NA,home
20,TSV Rudow Berlin,SC Staaken 1919,NA,NA,home
20,Berlin Türkspor,SSC Südwest 1947,NA,NA,away
20,Sp.Vg. Blau Weiß 1890 Berlin,SC Charlottenburg,NA,NA,away
20,VSG Altglienicke II,Polar Pinguin Berlin,NA,NA,away
20,VfB Fortuna Biesdorf,SFC Stern 1900,NA,NA,away
20,SV Empor Berlin,1. FC Wilmersdorf,NA,NA,away
20,Frohnauer SC,Füchse Berlin,NA,NA,away
20,Berliner SC,TSV Mariendorf 1897,NA,NA,away
20,SV BW Hohen Neuendorf,FSV Spandauer Kickers,NA,NA,away
20,SC Staaken 1919,TSV Rudow Berlin,NA,NA,away
21,SSC Südwest 1947,1. FC Wilmersdorf,NA,NA,home
21,Berlin Türkspor,TSV Rudow Berlin,NA,NA,home
21,Sp.Vg. Blau Weiß 1890 Berlin,Füchse Berlin,NA,NA,home
21,VfB Fortuna Biesdorf,SC Charlottenburg,NA,NA,home
21,VSG Altglienicke II,SFC Stern 1900,NA,NA,home
21,Berliner SC,SV Empor Berlin,NA,NA,home
21,SC Staaken 1919,FSV Spandauer Kickers,NA,NA,home
21,SV BW Hohen Neuendorf,Polar Pinguin Berlin,NA,NA,home
21,Frohnauer SC,TSV Mariendorf 1897,NA,NA,home
21,1. FC Wilmersdorf,SSC Südwest 1947,NA,NA,away
21,TSV Rudow Berlin,Berlin Türkspor,NA,NA,away
21,Füchse Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
21,SC Charlottenburg,VfB Fortuna Biesdorf,NA,NA,away
21,SFC Stern 1900,VSG Altglienicke II,NA,NA,away
21,SV Empor Berlin,Berliner SC,NA,NA,away
21,FSV Spandauer Kickers,SC Staaken 1919,NA,NA,away
21,Polar Pinguin Berlin,SV BW Hohen Neuendorf,NA,NA,away
21,TSV Mariendorf 1897,Frohnauer SC,NA,NA,away
22,TSV Rudow Berlin,SSC Südwest 1947,NA,NA,home
22,FSV Spandauer Kickers,Berlin Türkspor,NA,NA,home
22,SC Charlottenburg,VSG Altglienicke II,NA,NA,home
22,Füchse Berlin,VfB Fortuna Biesdorf,NA,NA,home
22,TSV Mariendorf 1897,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
22,SFC Stern 1900,SV BW Hohen Neuendorf,NA,NA,home
22,SV Empor Berlin,Frohnauer SC,NA,NA,home
22,1. FC Wilmersdorf,Berliner SC,NA,NA,home
22,Polar Pinguin Berlin,SC Staaken 1919,NA,NA,home
22,SSC Südwest 1947,TSV Rudow Berlin,NA,NA,away
22,Berlin Türkspor,FSV Spandauer Kickers,NA,NA,away
22,VSG Altglienicke II,SC Charlottenburg,NA,NA,away
22,VfB Fortuna Biesdorf,Füchse Berlin,NA,NA,away
22,Sp.Vg. Blau Weiß 1890 Berlin,TSV Mariendorf 1897,NA,NA,away
22,SV BW Hohen Neuendorf,SFC Stern 1900,NA,NA,away
22,Frohnauer SC,SV Empor Berlin,NA,NA,away
22,Berliner SC,1. FC Wilmersdorf,NA,NA,away
22,SC Staaken 1919,Polar Pinguin Berlin,NA,NA,away
23,TSV Rudow Berlin,1. FC Wilmersdorf,NA,NA,home
23,VSG Altglienicke II,Füchse Berlin,NA,NA,home
23,SC Staaken 1919,SFC Stern 1900,NA,NA,home
23,Sp.Vg. Blau Weiß 1890 Berlin,SV Empor Berlin,NA,NA,home
23,SSC Südwest 1947,FSV Spandauer Kickers,NA,NA,home
23,SV BW Hohen Neuendorf,SC Charlottenburg,NA,NA,home
23,Frohnauer SC,Berliner SC,NA,NA,home
23,Berlin Türkspor,Polar Pinguin Berlin,NA,NA,home
23,VfB Fortuna Biesdorf,TSV Mariendorf 1897,NA,NA,home
23,1. FC Wilmersdorf,TSV Rudow Berlin,NA,NA,away
23,Füchse Berlin,VSG Altglienicke II,NA,NA,away
23,SFC Stern 1900,SC Staaken 1919,NA,NA,away
23,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
23,FSV Spandauer Kickers,SSC Südwest 1947,NA,NA,away
