Spieltag,Heim,Auswärts,H_tore,A_tore,HeimFormation,HeimStartelf,HeimSubs,ToreRaw,where,size,AuswaertsFormation,AuswaertsStartelf,AuswaertsSubs
3,SC Staaken,1. FC Wilmersdorf,0,0,4-2-3-1,"Oberbach, Förster, Lampert, Aksakal, Younes, Tutzschke, El Dayekh, Touko, Abdel-Hamid, Walter, Gakpeto","Heumer, Diezemann, Ufak, Stein, Jantzen",,away,M,3-1-4-2,"Samake, Aydin, Henneke, Ghandour, Langhammer, Russo, Voigt, Inal, Techie-Menson, Cinar, Benyamina","El-Meguid, Loch, Kaya, Akyo"
3,VfB Fortuna Biesdorf,TSV Rudow Berlin,2,1,3-4-2-1,"Gromotka, Burda, Bähr, Bayram, Razeek, Hassane, Günther, Haj Youssef, Hortum, A. Iraqui, Baba","+7 H. Iraqui, +15 Murseli, Thonfeld, Kirschner",0:1 (2.) Hortum; 0:2 (70.) Hortum,away,L,4-4-2,"Sangel, Künne, B. Kadur, Walizada, Maroske, Barrufet, Petschner, Haj Youssef, Dang, Schramm, Steinke","Treibert, Mansour, Friebe, Nanevie, Sowa"
3,SV BW Hohen Neuendorf,Berlin Türkspor,4,2,5-4-1,"Kopmann, Rüdiger, Stoltz, Diels, Domke, Schock-Negrete, Wolf, Lendner, Lange, Röttgen, Soine","Bacanu, Vogt, Dündar, Butt, Przesang",0:1 (6.) Soine; 0:2 (28.) Soine; 0:3 (33.) Soine; 1:4 (81.) Wolf,away,M,4-2-3-1,"Bätge, Vassiliadis, Turan, Kahraman, Williams, Zardoshtian, Rmieh, Mukuku Zola, Bacak, Korntreff, Kapan","Satici, Krien"
3,TSV Mariendorf 1897,Füchse Berlin,2,0,4-4-2,"Chaw, Austermann, Veilert, Wedemann, Urgelles Montoya, Ulusoy, Pfannschmidt, Kasola, Kromat, Senocak, van Dunem","Veilert, Tutic, Cordeiro, Bühler, Fürst",0:1 (2.) Senocak; 0:2 (83.) Senocak,away,M,4-2-3-1,"Lox, Cygankov, Klecha, Tüysüz, M. Cygankov, Zoungrana, Aslan, Ouédraogo, Sivaci, Haney, Sunday","Brechler, Heerdt, Yildirim, Bourakkadi"
3,Berliner SC,SFC Stern 1900,0,0,4-1-4-1,"Köster, Bossard, Öztürk, Markovic, Trojahn, Nnaemeka-Chukwurah, Schumann, Neumann, Cheung, Ngah, Lorenz","Ugbogbo, Spiegel, Ekandille",,away,M,4-2-3-1,"Dickersbach, Krost, Wobeser, SchönfußHahm, Udeoka, Hajjaj, Rohr, Keita, Gantzberg, Medrane, Fäßler","Drost, Thurau, Rohana, Hartmann, Jouini"
3,Sp.Vg. Blau Weiß 1890 Berlin,FSV Spandauer Kickers,1,2,4-2-3-1,"Hinz, Rocktäschel, Banze, Zingu, Salla, Schulze, Rausch, Toure, Lopes de Oliveira, Geurts, Brömer","Wiebach, Köhne, Schrade, Igkmpinompa, Grabow",2:1 (79.) Köhne,away,M,3-2-3-2,"Dardeike, J. Krumnow, Iseni, Klepczynski, Senninger, Vefonge Wana, Oldor, Kuckei, Dzhaukhar, Tastan, Uzan","Odoubiyi Cocou, Gezer, Sawallich, Agyei-Yeboah"
3,SV Empor Berlin,SC Charlottenburg,1,2,4-1-3-1-1,"Von Hallen, Wenger, Khettal, Falk, Möller, Kühn, Boateng, Meirelles-Hartmann, Schulz, Zander, Albrecht","Neumeier, Nickel, Appiah, Albrecht, Alankus",0:1 (9.) Q. Albrecht,away,L,4-3-3,"Seidel, Lehmann, Brinkmann, Reichel, Droszczak, Michels, Ulucay, Kücük, Engelsing, Maykowski, Löbe","Traore, Schäfer, Onyemaobi, Mestetef"
3,Frohnauer SC,Polar Pinguin Berlin,2,1,4-1-2-2-1,"Paul, Ehritt, Hollnagel, Hampel, Mundt, Seiffert, Musiol, Barnes, Bachar, Kyere, Eickhoff","Hofmann, Lindhammer, Walter, Arend, Wollesen",0:1 (1.) Eickhoff; 1:2 (78.) Musiol,away,S,5-2-2-1,"Erbilgin, Broll, Kahra, Hardt, Ouattara, Matt, Schwabe, Koch, Will, Sondermann, Ndubueze","Kaplan, Löhmann, Schanda, Faizi, Derman"
4,SSC Südwest 1947,TSV Rudow Berlin,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,Berlin Türkspor,FSV Spandauer Kickers,NA,NA,formation unclear,,,,home,NA,formation unclear,,
