Rank,Team,Nr,Name,Pos,Spielzeit,matches_played_ratio,playtime_ratio,points_per_game,scorerpoints_ratio,best_player_ratio,Score
298,SV Empor Berlin,0,Lukas Boateng,NA,67,0.3333333333333333,0.744,0,0,0,0.31
299,SV Empor Berlin,3,Tim Falk,NA,67,0.3333333333333333,0.744,0,0,0,0.31
300,SC Staaken,8,Sinan Ufak,ZM,62,0.6666666666666666,0.344,0.167,0,0,0.31
301,Polar Pinguin Berlin,0,Joschua Schanda,NA,55,0.6666666666666666,0.306,0.167,0,0,0.3
302,SC Charlottenburg,14,Omar Saif,LM,79,0.6666666666666666,0.439,0,0,0,0.3
303,Berliner SC,27,Hossein Jafari,NA,2,0.6666666666666666,0.011,0.5,0,0,0.29
304,VfB Fortuna Biesdorf,28,Mika Friebe,NA,27,0.6666666666666666,0.15,0.333,0,0,0.29
305,Polar Pinguin Berlin,7,Qais Faizi,NA,70,0.6666666666666666,0.389,0,0,0,0.28
306,Sp.Vg. Blau Weiß 1890 Berlin,0,Simon Schrade,NA,45,0.3333333333333333,0.5,0,0,1,0.28
307,TSV Rudow Berlin,27,Aron Murseli,NA,26,1,0.096,0,0,0,0.28
308,TSV Mariendorf 1897,3,Rui Marcel Peixoto,NA,66,0.6666666666666666,0.367,0,0,0,0.28
309,SV Empor Berlin,0,Daniel Alankus,NA,38,0.6666666666666666,0.211,0.167,0,0,0.27
310,1. FC Wilmersdorf,7,Nelson Okech,NA,32,0.3333333333333333,0.356,0.333,0,0,0.27
311,SC Staaken,5,Jan Heumer,NA,39,0.6666666666666666,0.217,0.167,0,0,0.27
312,Polar Pinguin Berlin,24,Nelson Culubali,RV,53,0.3333333333333333,0.589,0,0,0,0.26
313,VfB Fortuna Biesdorf,0,Pascal Treibert,NA,54,0.6666666666666666,0.3,0,0,0,0.26
314,SV Empor Berlin,0,Tom Stutzke,NA,29,0.3333333333333333,0.322,0.333,0,0,0.26
315,1. FC Wilmersdorf,5,Robin Loch,NA,8,0.6666666666666666,0.044,0.333,0,0,0.26
316,Polar Pinguin Berlin,17,Shaikh Derman,NA,22,0.6666666666666666,0.122,0.167,0,0,0.25
317,TSV Rudow Berlin,5,Fabian Fritsche,ZDM,49,0.3333333333333333,0.544,0,0,0,0.25
318,SFC Stern 1900,0,Nizar Jouini,NA,25,0.3333333333333333,0.278,0.333,0,0,0.25
319,1. FC Wilmersdorf,26,Jan Ilskens,NA,21,0.3333333333333333,0.233,0.333,0,0,0.24
320,Sp.Vg. Blau Weiß 1890 Berlin,0,Philip Schulz,ZOM,45,0.3333333333333333,0.5,0,0,0,0.23
321,VfB Fortuna Biesdorf,0,Kambiz Walizada,IV,45,0.3333333333333333,0.5,0,0,0,0.23
322,SV Empor Berlin,0,Luis Ploschenz,NA,20,0.3333333333333333,0.222,0.333,0,0,0.23
323,SFC Stern 1900,23,Ali Shaarawy,LM,45,0.3333333333333333,0.5,0,0,0,0.23
324,Polar Pinguin Berlin,0,Lukas Fechner,NA,17,0.3333333333333333,0.189,0.333,0,0,0.22
325,TSV Rudow Berlin,18,Omid Saberdest,NA,41,0.3333333333333333,0.456,0,0,0,0.22
326,SC Staaken,NA,Leon Diezemann,NA,16,0.3333333333333333,0.178,0.333,0,0,0.22
327,Polar Pinguin Berlin,23,Mohamed Tahiri Mizani,NA,37,0.3333333333333333,0.411,0,0,0,0.21
328,TSV Rudow Berlin,0,Leonard Kirschner,NA,28,0.6666666666666666,0.156,0,0,0,0.21
329,SC Staaken,27,Jannik Jantzen,NA,12,0.3333333333333333,0.133,0.333,0,0,0.21
330,TSV Mariendorf 1897,39,Bendix Kadji,NA,14,0.6666666666666666,0.078,0,0,0,0.19
331,SC Staaken,28,Erhan Bahceci,NA,10,0.3333333333333333,0.111,0,0.5,0,0.19
332,Berliner SC,15,Vincent Spiegel,NA,1,0.3333333333333333,0.011,0.333,0,0,0.17
333,VfB Fortuna Biesdorf,0,Jean-Claude Nanevie,NA,26,0.3333333333333333,0.289,0,0,0,0.17
334,SSC Südwest 1947,15,Mateusz Smolarkiewicz,NA,22,0.3333333333333333,0.244,0,0,0,0.16
335,TSV Rudow Berlin,16,Yannick Emanuel Wöhle,NA,20,0.3333333333333333,0.222,0,0,0,0.15
336,erlin Türkspor,0,Umut Satici,NA,21,0.3333333333333333,0.233,0,0,0,0.15
337,SV Empor Berlin,0,Simon Albrecht,ST,4,0.3333333333333333,0.044,0,0,1,0.15
338,Polar Pinguin Berlin,27,Malte Riebel,NA,16,0.3333333333333333,0.178,0,0,0,0.14
339,SC Staaken,10,Kevin Flemming,NA,17,0.3333333333333333,0.189,0,0,0,0.14
340,SSC Südwest 1947,NA,Alexander Willam,NA,14,0.3333333333333333,0.156,0,0,0,0.13
341,SV Empor Berlin,13,Roman Hübner,NA,13,0.3333333333333333,0.144,0,0,0,0.13
342,SSC Südwest 1947,14,Lorenzo Pablo Mbile Sanchez,NA,1,0.3333333333333333,0.011,0,0,0,0.09
