Rank,Team,Name,Nr,Pos,Spiele,Tore
266,BSV Al-Dersimspor,Max Kruse,30,NA,1,0
267,Berliner SC II,Bene Brecht,16,ZM,5,0
268,BFC Meteor 06,Selvedin Begzadic,22,TW,22,0
269,Berliner SC II,Jannis Gabrielides,NA,NA,1,0
270,BFC Preussen II,Vahit Engin,11,NA,7,0
271,Türkiyemspor Berlin,Kenan Demir,3,ZDM,21,0
272,Berliner SV 1892,Hendrik Lüttschwager,1,TW,22,0
273,BSV Al-Dersimspor,Kerem Filiz,NA,IV,7,0
274,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,10,0
275,Berliner SC II,Nicolas Wolski,8,RV,12,0
276,FSV Berolina Stralau 1901,Denis Rolke,15,RM,24,0
277,BSV Al-Dersimspor,Yasin Baki,NA,TW,2,0
278,TSV Rudow Berlin,Dmitri Zabavin,1,TW,3,0
279,Köpenicker FC,Jonas Weigelt,8,IV,14,0
280,TSV Rudow Berlin,Martin Gromotka,44,TW,25,0
281,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,23,0
282,BFC Preussen II,Paul Miggel,8,LV,9,0
283,SV Empor Berlin II,Daniel Alankus,NA,IV,2,0
284,FSV Berolina Stralau 1901,Daniel Fischer,19,LV,17,0
285,BFC Meteor 06,Julian Schröder,15,RV,27,0
286,SV Empor Berlin II,Dennis Wegner,NA,RV,1,0
287,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,9,0
288,BSV Al-Dersimspor,Patrick Boel,1,TW,21,0
289,BFC Preussen II,Malte Hartmann,31,TW,16,0
290,BFC Meteor 06,Metin Aktürk,NA,RM,3,0
291,SC Borsigwalde 1910,Mahmoud Akkaoui,4,IV,4,0
292,SC Borsigwalde 1910,Tobias Knetsch,23,TW,13,0
293,BSV Eintracht Mahlsdorf II,Tom Greif,14,RV,5,0
294,Köpenicker FC,Till Dietrich,27,LV,22,0
295,VfB Concordia Britz 1916,Dennis Sarnewski,NA,NA,1,0
296,BFC Preussen II,Yasin Demir,30,ZDM,19,0
297,BFC Preussen II,Nicolas Michalke,NA,RV,3,0
298,FSV Berolina Stralau 1901,Maximilian Weber,NA,ZM,10,0
299,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,9,0
300,VfB Concordia Britz 1916,Fabian Kolditz,13,NA,1,0
301,VfB Concordia Britz 1916,Patrick Wenke,29,IV,15,0
302,BSV Al-Dersimspor,Caglar Halici,NA,ST,1,0
303,BSV Al-Dersimspor,Hüseyin Ali Kaloglu,NA,IV,1,0
304,BSV Al-Dersimspor,Önder Senkaya,NA,NA,2,0
305,BSV Al-Dersimspor,Serdar Sezgin,NA,IV,2,0
306,VfB Concordia Britz 1916,Tim Wenke,5,IV,15,0
307,Berliner SC II,Lukas Strehlke,NA,NA,1,0
308,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
309,BFC Meteor 06,Yusuf Abouri,NA,RV,4,0
310,SV Stern Britz 1889,Fabio Zielske,NA,NA,0,0
311,SV Stern Britz 1889,Marcel Lieker,NA,NA,1,0
312,VfB Concordia Britz 1916,Robin Eschert,14,LV,4,0
313,Berliner SV 1892,Benjamin Schnack,NA,IV,13,0
314,Köpenicker FC,Kevin Wesolek,16,NA,2,0
315,SV Stern Britz 1889,Yusuf Yildirim,NA,ZDM,1,0
316,Köpenicker FC,Tom Nischwitz,5,IV,15,0
317,BSV Al-Dersimspor,Gökhan Cevik,NA,NA,1,0
318,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
319,BSV Al-Dersimspor,Onurcan Üremis,NA,NA,1,0
320,SV Stern Britz 1889,Bartosz Palubski,21,NA,0,0
321,BSV Al-Dersimspor,Aziz Ökten,NA,NA,0,0
322,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,10,0
323,SV Stern Britz 1889,Kerem Erman,NA,NA,1,0
324,Berliner SV 1892,Karl Anker,8,IV,24,0
325,BFC Meteor 06,Bahadir Katirci,7,NA,6,0
326,Berliner SC II,Alexander Huse,13,ST,16,0
327,SC Borsigwalde 1910,Antonio Ciao,22,ZDM,3,0
328,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,9,0
329,BSV Al-Dersimspor,Mustafa Arslan,1,TW,6,0
330,BFC Meteor 06,Ahmad Zahlan,6,ZDM,26,0
331,SV Stern Britz 1889,Marc Anthony Weisse,NA,ZM,1,0
332,SV Stern Britz 1889,Suphi Tekin,NA,RV,4,0
333,BSV Eintracht Mahlsdorf II,Ian Kroh,NA,IV,2,0
334,Berliner SC II,Jakob Heilmann,2,LV,20,0
335,SV Stern Britz 1889,Okan Özkaya,3,NA,8,0
336,SV Empor Berlin II,Maurice Meyer,1,TW,11,0
337,SV Stern Britz 1889,Mike Otto,NA,IV,1,0
338,Berliner SV 1892,Maximilian Blust,NA,ST,8,0
339,SV Stern Britz 1889,Naim Senay,26,IV,20,0
340,BFC Meteor 06,Jamal Dähn,NA,NA,1,0
341,Berliner SC II,Victor Kausch,NA,IV,3,0
342,Berliner SV 1892,Nicht öffentlich,NA,NA,12,0
343,BSV Al-Dersimspor,Vittorio Achour,NA,NA,2,0
344,SV Empor Berlin II,Tom Stutzke,NA,IV,2,0
345,Türkiyemspor Berlin,Jan Lange,NA,IV,4,0
346,SV Empor Berlin II,Hendrik Kühn,NA,TW,1,0
347,SV Empor Berlin II,Tjerk Ortmann,4,IV,4,0
348,BFC Preussen II,Oliver Schill,NA,IV,1,0
349,SV Empor Berlin II,Nikolai Wolany,NA,NA,1,0
350,Berliner SC II,Oktay Öztürk,NA,RV,1,0
351,Türkiyemspor Berlin,Paulo Eduardo Bernardes De Almeida,22,NA,5,0
352,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,11,0
353,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
354,SV Empor Berlin II,Arnaud Salla,NA,IV,1,0
355,BSV Al-Dersimspor,Emre-Eyüp Önal,7,ZDM,14,0
356,SV Stern Britz 1889,Julian Karsten Heikenfeld,NA,ST,2,0
357,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,23,0
358,SV Stern Britz 1889,Steven Hieronymus,NA,NA,0,0
359,BFC Preussen II,Dominik Dietzel,1,TW,13,0
360,Türkiyemspor Berlin,Davut Kösker,32,TW,4,0
361,TSV Rudow Berlin,Maurice Büttner,NA,NA,1,0
362,Köpenicker FC,Maximilian Zengler,25,ST,2,0
363,TSV Rudow Berlin,Sebastian Stang,NA,NA,3,0
364,BSV Al-Dersimspor,Caglar Polat,27,ZOM,23,0
365,SV Stern Britz 1889,Patrick Kübler,21,NA,0,0
366,Köpenicker FC,Pascal Berger,NA,NA,0,0
367,SV Stern Britz 1889,Timo Ziebarth,1,TW,17,0
368,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,20,0
369,BSV Al-Dersimspor,Etem Tonk,24,IV,24,0
370,Berliner SV 1892,Dennis Fischer,2,LV,5,0
371,Türkiyemspor Berlin,Dennis Fischer,2,LV,8,0
372,SV Empor Berlin II,Tom Wessel,24,IV,5,0
373,SV Stern Britz 1889,Kamil Ryszard Borowski,NA,IV,4,0
374,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
375,Berliner SC II,Umran Saied,NA,LM,1,0
376,Berliner SC II,Oguz Rencber,NA,LM,2,0
377,FSV Berolina Stralau 1901,Emilio Son,7,NA,4,0
378,SV Stern Britz 1889,Nico Hauf,13,IV,17,0
379,FSV Berolina Stralau 1901,Viktor Kreisel,20,NA,3,0
380,Berliner SC II,Benjamin Trojahn,NA,NA,1,0
381,SV Stern Britz 1889,Robin Koller,NA,TW,2,0
382,VfB Concordia Britz 1916,Domenic Schäfer,NA,LV,1,0
383,FSV Berolina Stralau 1901,Ian Häberle,22,IV,23,0
384,BSV Al-Dersimspor,Leorant Abduli,23,NA,1,0
385,Türkiyemspor Berlin,Ali Mert Koca,15,ZOM,6,0
386,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,18,0
387,FC Internationale Berlin 1980,Josè Francisco Cunto,NA,NA,3,0
388,BSV Eintracht Mahlsdorf II,Marcus Grund,NA,ZM,4,0
389,SV Empor Berlin II,Philipp Macketanz,15,LV,17,0
390,FC Viktoria 1889 Berlin II,Patrick Büch,NA,NA,0,0
391,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
392,BSV Eintracht Mahlsdorf II,Fabio Findeisen,NA,ZM,4,0
393,Köpenicker FC,Adrian Thiemann,1,TW,20,0
394,BSV Al-Dersimspor,Can Yildiz,NA,NA,5,0
395,SC Borsigwalde 1910,David Mpembele Nzongo,25,ST,6,0
396,BSV Al-Dersimspor,Achmed El-Noumeiri,NA,NA,5,0
397,VfB Concordia Britz 1916,Leon Ketel,1,TW,14,0
398,VfB Concordia Britz 1916,Merlin Schulz,8,IV,1,0
399,Berliner SC II,Rene Lohmeier,NA,NA,0,0
