ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,scorerpoints_ratio,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
746725,Muhammed Mücahid Mert,DJK Schwarz-Weiß Neukölln,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
754302,Nico Tolzmann,Friedenauer TSC,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
774865,Michel Stefaniszin,SC Borsigwalde 1910,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
778146,Josip Ramljak,DJK Schwarz-Weiß Neukölln,1,0,0,0,0,0,0,1,57,0,NA,0.021,NA,0,0,3,1,0,3,NA,IV,NA,100%,0%
781216,Kevin Kummer,SC Borsigwalde 1910,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,ZDM,NA,100%,0%
784306,Lennard Schleifenbaum,Berliner SV 1892,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,1,1,0,1,0,0,NA,ZM,NA,100%,0%
787408,Mohammed Mustafa Acar,SC Borsigwalde 1910,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,IV,NA,100%,0%
798763,Filipp Harles,SF Charlottenburg-Wilmersdorf 03,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
809827,Georgios Mikelatze,BFC Preussen II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
814999,Lukas Ferl,Sportfreunde Johannisthal,1,1,0,0,0,0,1,0,24,0,NA,0.009,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
824144,Niklas Schindler,FC Internationale Berlin 1980,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
833204,Abdullah Usame Karadeniz,BSV Hürtürkel,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
833291,Davut Kösker,Berlin Hilalspor,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,TW,NA,100%,0%
838422,David Bellin,Berliner SV 1892,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,ST,NA,100%,0%
839433,Christoph Ruden,DJK Schwarz-Weiß Neukölln,1,1,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,ZDM,NA,100%,0%
845287,Malte Räuchle,SC Berliner Amateure,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
847175,Nico Lindner,DJK Schwarz-Weiß Neukölln,1,0,0,0,0,0,1,0,33,0,NA,0.012,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
849598,Tim Niedenhoff,Berliner SC II,1,1,1,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,ZM,NA,100%,0%
849600,Görkem Yilmaz,Berlin Hilalspor,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
849601,Enrique Freitag,FC Internationale Berlin 1980,1,0,0,0,0,0,0,1,67,0,NA,0.025,NA,0,0,3,1,0,3,NA,ZM,NA,100%,0%
849603,Moritz Willkomm,SC Berliner Amateure,1,0,0,0,0,0,1,0,11,0,NA,0.004,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
849622,Dominique Leitner,Berliner SC II,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,IV,NA,100%,0%
849652,Janik Meyer,1. FC Schöneberg 1913,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,-1,0,0.25,NA,NA,0%,0%
851303,Heinrich Sander,Pfeffersport,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,1,1,3,1,0,3,NA,IV,NA,100%,0%
851304,Bruno Hertling,Pfeffersport,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
851307,Joey Luchsinger,Pfeffersport,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
851312,Jakob Kamara,Pfeffersport,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
851386,Jannik Kremer,Pfeffersport,1,0,0,0,0,0,0,1,24,0,NA,0.009,NA,0,0,3,1,0,3,NA,RM,NA,100%,0%
861238,Luca Tschiche,Pfeffersport,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
871908,Carlos Frei,SC Berliner Amateure,1,0,0,0,0,0,0,1,61,0,NA,0.023,NA,0,0,0,1,0,0,NA,NA,NA,0%,0%
875792,Elias Aguigah,Pfeffersport,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,LM,NA,100%,0%
886558,Elias Thürigen,SV Empor Berlin II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
891315,Hasan Köse,Berlin Hilalspor,1,0,0,0,0,0,1,0,29,0,NA,0.011,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
897082,Ibrahim Inal,BSV Hürtürkel,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
902367,Marcel Potempa,Berliner SC II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
906538,Albert Bauder,FC Internationale Berlin 1980,1,0,0,0,0,0,1,0,23,0,NA,0.009,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
908540,Lucas Bittighofer,SC Borsigwalde 1910,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
