Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
347,SV Empor Berlin II,Alvenzio Ettah,19,ZM,21,0
348,SC Borsigwalde 1910,Eren Motuk,5,IV,18,0
349,BSV Al-Dersimspor,Ryan Smith Mabom Njiki,NA,ZDM,9,0
350,SV Empor Berlin II,Oskar Kühn,23,TW,10,0
351,BSV Eintracht Mahlsdorf II,Maximilian Widmer,NA,LM,13,0
352,BFC Preussen II,Christian Müller,25,ZDM,15,0
353,Köpenicker FC,Noah Maximilian Laske,19,RV,14,0
354,Köpenicker FC,Oskar Klauke,20,LV,14,0
355,SV Stern Britz 1889,Jonas Lück,18,TW,11,0
356,Köpenicker FC,Marques Brunow,NA,IV,8,0
357,Berliner SC II,Simon Riedel,14,RV,22,0
358,SV Stern Britz 1889,Matias Ignacio Bottiglieri,NA,ST,7,0
359,SC Borsigwalde 1910,Joao Victor Braga De Souza,2,IV,15,0
360,SC Borsigwalde 1910,Oskar Denis Cuesta,11,NA,8,0
361,FC Internationale Berlin 1980,Cristobal Del Fierro,1,NA,23,0
362,SV Empor Berlin II,Rafael Mentrup,21,LM,21,0
363,SV Empor Berlin II,Laszlo Braun,22,LM,14,0
364,SC Borsigwalde 1910,Adam Barnat,6,LM,13,0
365,VfB Concordia Britz 1916,Philip Wieser,17,ZM,20,0
366,VfB Concordia Britz 1916,Omar Mohamed Ibrahim Hassan Ali,NA,ST,11,0
367,SV Empor Berlin II,Keita Udo,12,ZM,10,0
368,TSV Rudow Berlin,Süleyman Aktas,29,TW,13,0
369,Köpenicker FC,Luca Seeber,12,TW,7,0
370,SV Empor Berlin II,Laurens Cerny,20,ZM,21,0
371,SC Borsigwalde 1910,Sadjad Rassuli,NA,ZDM,7,0
372,SV Stern Britz 1889,John Coker,NA,ST,7,0
